"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","comparison","primary_comparison","estimate","standard_error","conf_low","conf_high","ratio","ratio_conf_low","ratio_conf_high","p_value","q_value","n","full_fixed_effect_covariance_used","status","multiplicity_family","analysis_variant"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","checklist_reporting","active_minus_pre14",TRUE,0.00500279216307064,0.0324444597154252,-0.0585871803770234,0.0685927647031647,1.00501532702216,0.943096017349239,1.07099997133742,0.877455530091192,0.931741450884289,216892,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_82312e6f2848","Common Goldeneye","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.182215939688704,0.0209913123345096,0.141073723524833,0.223358155852574,1.19987326616645,1.15150953819754,1.25026828445946,3.93891967997372e-18,4.52975763196978e-17,21195,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","checklist_reporting","active_minus_pre14",TRUE,-0.0182783669332315,0.0616661287179084,-0.139141758286343,0.10258502441988,0.981887669253174,0.870104675167592,1.108031507641,0.766918107299319,0.925191445621143,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_8608f2ed61cf","Pigeon Guillemot","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0134424015477655,0.0402778639942984,-0.065500761255262,0.0923855643507931,1.01353315682781,0.936598333768947,1.09678762277487,0.738574503384163,0.790102957108639,6342,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0609369963313991,0.0466297992237253,-0.0304557307534363,0.152329723416234,1.06283194976577,0.970003372435197,1.16454415061158,0.191272087219154,0.316588282293772,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_86eda7ed9025","Red-necked Grebe","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0289570182858733,0.0313818377513959,-0.0325502534755421,0.0904642900472886,1.02938034899238,0.967973804561106,1.09468241588636,0.356147012000386,0.493264207022899,8109,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","checklist_reporting","active_minus_pre14",TRUE,0.140336689211882,0.0477125377609254,0.0468218335894605,0.233851544834303,1.15066114884063,1.04793528557791,1.26345691157931,0.003268422073762,0.0142622054127796,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_87b306550dba","Harlequin Duck","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.192373398620408,0.0234563687415319,0.146399760678914,0.238347036561902,1.21212303754435,1.15765888206184,1.26914955770818,2.37743770695206e-16,2.1532979959815e-15,12030,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","checklist_reporting","active_minus_pre14",TRUE,0.0157993014851504,0.0797002762469579,-0.14041036951678,0.172008972487081,1.01592477035145,0.869001550471153,1.18768848968573,0.842862017339581,0.931741450884289,217200,TRUE,"completed","long_span_event_excluded__fixed_49_species__checklist_reporting__active_minus_pre14","long_span_event_excluded"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_98ca0000b734","Brandt's Cormorant","core_species","conditional_positive_numeric_count","active_minus_pre14",TRUE,0.0462562153511907,0.0715268759027222,-0.0939338853448107,0.186446316047192,1.04734272186608,0.910342947261251,1.20495993333714,0.517828071558426,0.63947762663931,2573,TRUE,"completed","long_span_event_excluded__fixed_49_species__conditional_positive_numeric_count__active_minus_pre14","long_span_event_excluded"
