"analysis_version","stage","analysis_taxon_id","species","analysis_role","outcome","engine","n","converged","singular_fit","rank_deficient","convergence_message","maximum_absolute_gradient","event_block_variance","observer_variance","location_variance","residual_variance","status","analysis_variant","offset_days"
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_e0e678a61ad7","Short-billed Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.403939228480649,1.31889075732162,7.17225975790245,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_e0e678a61ad7","Short-billed Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",22003,TRUE,FALSE,FALSE,"",0.0162614742293954,0.157194741065198,0.332186891055467,0.555799453244816,1.77902626276459,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_ebf17f77fb66","Western Grebe","core_species","checklist_reporting","lme4_glmer_nAGQ0",217186,TRUE,FALSE,FALSE,"",,0.142607566533198,0.721612600527239,7.88447456584257,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_ebf17f77fb66","Western Grebe","core_species","conditional_positive_numeric_count","lme4_lmer_REML",1346,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fadb8da1a816","Bonaparte's Gull","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.606145942744114,0.46397863725952,8.00421949091635,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fadb8da1a816","Bonaparte's Gull","core_species","conditional_positive_numeric_count","lme4_lmer_REML",4025,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fc0a9b777dcd","Bald Eagle","core_species","checklist_reporting","lme4_glmer_nAGQ0",217199,TRUE,FALSE,FALSE,"",,0.407214401373893,0.359066159103918,1.28884040575308,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_fc0a9b777dcd","Bald Eagle","core_species","conditional_positive_numeric_count","lme4_lmer_REML",83359,TRUE,FALSE,FALSE,"",0.00951971742324531,0.0217419450515746,0.0429555235042083,0.109952215440163,0.351309232219361,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000002","Black Oystercatcher","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,1.18643283354365,0.2258707742663,11.2022132150406,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000002","Black Oystercatcher","core_species","conditional_positive_numeric_count","lme4_lmer_REML",13626,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000003","Dunlin","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.797483730835388,0.369151046291068,11.7915615959721,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000003","Dunlin","core_species","conditional_positive_numeric_count","lme4_lmer_REML",5908,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000006","Black-bellied Plover","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.949474936259407,0.428229282539253,13.694039765842,,"completed","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000006","Black-bellied Plover","core_species","conditional_positive_numeric_count","lme4_lmer_REML",3973,FALSE,,,"failed_insufficient_support",,,,,,"failed_insufficient_support","placebo_offset_m90",-90
"post_stage4a_staged_refit_v1_s1_anchor","s1_anchor","atx_v2_000007","Common Raven","core_species","checklist_reporting","lme4_glmer_nAGQ0",217200,TRUE,FALSE,FALSE,"",,0.485961398136411,0.594867967320672,1.35841816631637,,"completed","placebo_offset_m90",-90
