"source_record_id","geometry_quality_tier","source_point_available","edge100_snap_distance_band","edge100_core_eligible","edge150_sensitivity_available","observed_length_available","actual_alongshore_geometry_constructed","safe_primary_complex_id","provisional_2km_7d_complex_id","antichain_complex_id","support_label"
"hsr_35ce30a9986f706b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_35ce30a9986f706b","compl_73cc8eb078f9b2bb","ac2_1acedfe47e67d899","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_cc43fbf4805808a4","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_cc43fbf4805808a4","compl_6888bb4c63939b25","ac2_3315df1f8ce750ce","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7d9c6cc6a5b122f8","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7d9c6cc6a5b122f8","compl_a52414f91e30a0d3","ac2_d8ed7cf6a82686a1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_66f3c71c5f677607","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_66f3c71c5f677607","compl_18da73d6cac19f78","ac2_89045b77f65b39d4","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_33718743d4f78939","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_33718743d4f78939","compl_df936dd2cafe76be","ac2_583482cafac257eb","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_cb20a3489f40493e","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_cb20a3489f40493e","compl_df936dd2cafe76be","ac2_583482cafac257eb","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_8559ee8e0987618d","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_8559ee8e0987618d","compl_febd56f9f50367ba","ac2_88c237076fdc22e1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_507d5ee343dece88","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_507d5ee343dece88","compl_2d2e3287ad8f45de","ac2_e3b96982ada253bb","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_dbeea375d087de14","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_dbeea375d087de14","compl_173bfb3bb723e2aa","ac2_cdc559f220565ec2","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_ba3206a38b46d18c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_ba3206a38b46d18c","compl_43ed04ee2eee31b5","ac2_fd9c7e26bb9d0c44","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b91e18ceea8ae73b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b91e18ceea8ae73b","compl_941607861888d60e","ac2_284da7df00945b74","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_be899f21845c2d74","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_be899f21845c2d74","compl_aa3b02f89b2d156e","ac2_1323ae3131b4cf87","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7eb58bb46d9cdcc9","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7eb58bb46d9cdcc9","compl_1079ff6dc36b4a0f","ac2_bbc84cf451c7ce3c","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_08c1f4d736410db6","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_08c1f4d736410db6","compl_171d6006a896caf4","ac2_f6efbfaac768d326","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_fd34667eb4b359df","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_fd34667eb4b359df","compl_214a8988da4032de","ac2_2a1614d984d749aa","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7469c2e4eee15d7c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7469c2e4eee15d7c","compl_214a8988da4032de","ac2_2a1614d984d749aa","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_61319bfbc6a28fa5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_61319bfbc6a28fa5","compl_cf7677f36c43f10d","ac2_7ab92a89c6a8fc58","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_832ac7dc4e778df3","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_832ac7dc4e778df3","compl_cf7677f36c43f10d","ac2_7ab92a89c6a8fc58","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_69bd90d0138a494b","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_69bd90d0138a494b","compl_3081cc5440e7813e","ac2_67363849f9dc257f","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_7db9ea9a8399ed03","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_7db9ea9a8399ed03","compl_0669af03a035400c","ac2_f21ceaf37003e303","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_b98baf46d7eab1d6","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_b98baf46d7eab1d6","compl_0669af03a035400c","ac2_f21ceaf37003e303","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_d13574ff3e68b0d3","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_d13574ff3e68b0d3","compl_0669af03a035400c","ac2_f21ceaf37003e303","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_5c9a6f30f1069e1e","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_5c9a6f30f1069e1e","compl_886ca5cdd08c4676","ac2_626a66f98018ba20","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_4d361395b2edb23c","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_4d361395b2edb23c","compl_886ca5cdd08c4676","ac2_626a66f98018ba20","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_f1dfeb2a9726f07f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_f1dfeb2a9726f07f","compl_d2dd5109f94e2f80","ac2_123a7bf6a981d888","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_48649ec9643c5452","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_48649ec9643c5452","compl_d2dd5109f94e2f80","ac2_123a7bf6a981d888","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_21c066f217bc5ce7","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_21c066f217bc5ce7","compl_d2dd5109f94e2f80","ac2_123a7bf6a981d888","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_599aae856e9b46d5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_599aae856e9b46d5","compl_127c2e16de1d18ec","ac2_95007777fb743cf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_24f807bcdf801731","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_24f807bcdf801731","compl_127c2e16de1d18ec","ac2_95007777fb743cf1","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_63b879d21c39b6d4","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_63b879d21c39b6d4","compl_c90d3b01effe0466","ac2_2b3892d5da7d252b","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_e3a6cf242ab549b5","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_e3a6cf242ab549b5","compl_c79dfedc516f8134","ac2_63a1262e9802d490","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_97febe6756c35d7b","C",TRUE,"over_5km",FALSE,TRUE,FALSE,FALSE,"hsr_97febe6756c35d7b","compl_562ebaf206928aa7","ac2_f1383370cb0fbbe9","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_f158078c0684227f","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_f158078c0684227f","compl_0593aa91d13f394e","ac2_8a6b67f8eb4bb3e4","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_55d54817d11f9cee","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_55d54817d11f9cee","compl_9d129a90085325cf","ac2_e99cd8701b34dd3d","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_83b49417a36af694","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_83b49417a36af694","compl_8e86f9f07812d8f6","ac2_0b4b0b1b802c6901","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"hsr_0e36de8032959238","C",TRUE,"over_5km",FALSE,TRUE,TRUE,FALSE,"hsr_0e36de8032959238","compl_021b42513ba04bfa","ac2_63bcf519e0c08ab3","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
