"definition","complex_id","source_records","region","regions","statistical_areas","sections","location_codes","methods","temporal_span_days","spatial_bbox_diameter_km","any_reversed_date","any_uncertain_date","generalized_easting_10km","generalized_northing_10km","crosses_region","crosses_statistical_area","crosses_section","crosses_location_code","mixed_method","temporal_review","spatial_review","review_required","review_reason","support_label"
"complex_1km_3d","hsr_6558fae9eb28c6a4",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_334f9a0d7324a34d",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_4b5af83a7622884a",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_c912aa39a3003da0",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,860,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_fbfcd2e02c181e01",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_ef92e90034bc45a4",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_623a9a0a4bb43931",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_26175c1bab193a5a",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_b031cccfc62d62e7",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,850,840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
"complex_1km_3d","hsr_2f32670e75a517f6",1,"CC",1,1,1,1,1,,0,FALSE,TRUE,830,820,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uncertain_date","SUPPORT_ONLY_NOT_AN_EFFECT_ESTIMATE"
