"term","outcome","exposed_model_rows","model_version_id","analysis_taxon_id","unit_label","band","period"
"db_band_14_16_immediate_pre","positive_numeric_count_given_detection",1705,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","immediate_pre"
"db_band_16_18_immediate_pre","positive_numeric_count_given_detection",1877,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_16_18","immediate_pre"
"db_band_18_20_immediate_pre","positive_numeric_count_given_detection",1660,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_18_20","immediate_pre"
"db_band_20_22_immediate_pre","positive_numeric_count_given_detection",1485,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_20_22","immediate_pre"
"db_band_22_24_immediate_pre","positive_numeric_count_given_detection",1683,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_22_24","immediate_pre"
"db_band_24_26_immediate_pre","positive_numeric_count_given_detection",1857,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_24_26","immediate_pre"
"db_band_0_2_spawn_start","positive_numeric_count_given_detection",549,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_0_2","spawn_start"
"db_band_2_4_spawn_start","positive_numeric_count_given_detection",717,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_2_4","spawn_start"
"db_band_4_6_spawn_start","positive_numeric_count_given_detection",1033,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_4_6","spawn_start"
"db_band_6_8_spawn_start","positive_numeric_count_given_detection",1144,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_6_8","spawn_start"
"db_band_8_10_spawn_start","positive_numeric_count_given_detection",1343,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_8_10","spawn_start"
"db_band_10_12_spawn_start","positive_numeric_count_given_detection",1461,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_10_12","spawn_start"
"db_band_12_14_spawn_start","positive_numeric_count_given_detection",1055,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_12_14","spawn_start"
"db_band_14_16_spawn_start","positive_numeric_count_given_detection",1077,"SOG_DISTANCE_BAND_CONTROL_AMERICAN_ROBIN_v1","ctl_c7322190c88f","American Robin","band_14_16","spawn_start"
