"feature_set","scheme","selected_k","cluster","mean_bootstrap_jaccard","stable_at_0_6","common_name","guild"
"B","unweighted",2,1,0.825307007050522,TRUE,"Black Turnstone","intertidal_roe_shorebird"
"B","unweighted",2,1,0.825307007050522,TRUE,"Black-bellied Plover","intertidal_roe_shorebird"
"B","unweighted",2,1,0.825307007050522,TRUE,"Brant","surface_vegetation_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Marbled Murrelet","alcid_piscivore"
"B","unweighted",2,1,0.825307007050522,TRUE,"Brandt's Cormorant","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Common Murre","alcid_piscivore"
"B","unweighted",2,1,0.825307007050522,TRUE,"American Herring Gull","gull_roe"
"B","unweighted",2,1,0.825307007050522,TRUE,"Black Scoter","roe_diving_seaduck"
"B","unweighted",2,1,0.825307007050522,TRUE,"Red-throated Loon","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Western Grebe","piscivore_active_spawn"
"B","unweighted",2,1,0.825307007050522,TRUE,"Western Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Glaucous-winged Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Short-billed Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Harlequin Duck","roe_diving_seaduck"
"B","unweighted",2,2,0.485738138747538,FALSE,"Lesser Scaup","roe_diving_seaduck"
"B","unweighted",2,2,0.485738138747538,FALSE,"California Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Iceland Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Greater Scaup","roe_diving_seaduck"
"B","unweighted",2,2,0.485738138747538,FALSE,"Bonaparte's Gull","gull_roe"
"B","unweighted",2,2,0.485738138747538,FALSE,"Long-tailed Duck","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"American Crow","shoreline_scavenger"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Canada Goose","surface_vegetation_roe"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Common Raven","shoreline_scavenger"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Bufflehead","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Great Blue Heron","shoreline_scavenger"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Double-crested Cormorant","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Hooded Merganser","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Pelagic Cormorant","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Surf Scoter","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Common Loon","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Black Oystercatcher","intertidal_roe_shorebird"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Red-breasted Merganser","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Horned Grebe","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Barrow's Goldeneye","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Pigeon Guillemot","alcid_piscivore"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Pacific Loon","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Dunlin","intertidal_roe_shorebird"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"White-winged Scoter","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Ring-billed Gull","gull_roe"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Black Turnstone","intertidal_roe_shorebird"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Black-bellied Plover","intertidal_roe_shorebird"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Brant","surface_vegetation_roe"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Marbled Murrelet","alcid_piscivore"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Brandt's Cormorant","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Common Murre","alcid_piscivore"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Black Scoter","roe_diving_seaduck"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Red-throated Loon","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Western Grebe","piscivore_active_spawn"
"B","inverse_variance",2,1,0.801630888251422,TRUE,"Western Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Glaucous-winged Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Mallard","surface_vegetation_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Bald Eagle","shoreline_scavenger"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"American Wigeon","surface_vegetation_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Common Merganser","piscivore_active_spawn"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Short-billed Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Common Goldeneye","roe_diving_seaduck"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Northern Pintail","surface_vegetation_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Harlequin Duck","roe_diving_seaduck"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Lesser Scaup","roe_diving_seaduck"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Red-necked Grebe","piscivore_active_spawn"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"California Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Iceland Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Greater Scaup","roe_diving_seaduck"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Bonaparte's Gull","gull_roe"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"Long-tailed Duck","roe_diving_seaduck"
"B","inverse_variance",2,2,0.728327884308163,TRUE,"American Herring Gull","gull_roe"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"American Crow","shoreline_scavenger"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Common Raven","shoreline_scavenger"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Hooded Merganser","piscivore_active_spawn"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Common Loon","piscivore_active_spawn"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Black Oystercatcher","intertidal_roe_shorebird"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Pigeon Guillemot","alcid_piscivore"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Dunlin","intertidal_roe_shorebird"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Ring-billed Gull","gull_roe"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Black-bellied Plover","intertidal_roe_shorebird"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Common Murre","alcid_piscivore"
"B","reliability_shrunk",2,1,0.475032284092871,FALSE,"Western Grebe","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Glaucous-winged Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Mallard","surface_vegetation_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Bald Eagle","shoreline_scavenger"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Canada Goose","surface_vegetation_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Bufflehead","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Great Blue Heron","shoreline_scavenger"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"American Wigeon","surface_vegetation_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Double-crested Cormorant","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Common Merganser","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Short-billed Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Common Goldeneye","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Pelagic Cormorant","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Surf Scoter","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Northern Pintail","surface_vegetation_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Red-breasted Merganser","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Horned Grebe","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Harlequin Duck","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Barrow's Goldeneye","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Lesser Scaup","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Red-necked Grebe","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"California Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Pacific Loon","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"White-winged Scoter","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Iceland Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Greater Scaup","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Black Turnstone","intertidal_roe_shorebird"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Bonaparte's Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Brant","surface_vegetation_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Marbled Murrelet","alcid_piscivore"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Long-tailed Duck","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Brandt's Cormorant","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"American Herring Gull","gull_roe"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Black Scoter","roe_diving_seaduck"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Red-throated Loon","piscivore_active_spawn"
"B","reliability_shrunk",2,2,0.663764549276404,TRUE,"Western Gull","gull_roe"
