species,outcome,ratio_recomputed_from_frozen_release,ratio_editorial_release,abs_ratio_diff,ratio_conf_low,ratio_conf_high,q_value,status
Red-necked Grebe,positive_numeric_count_given_detection,1.0178925684297728,1.01789256842977,2.886579864025407e-15,0.958273370474712,1.08122098848608,0.702046394985908,completed
Red-throated Loon,positive_numeric_count_given_detection,1.044814730998487,1.04481473099849,3.1086244689504383e-15,0.868047538670448,1.25757838537675,0.771927823788218,completed
Rhinoceros Auklet,positive_numeric_count_given_detection,,,,,,,failed_insufficient_support
Ring-billed Gull,positive_numeric_count_given_detection,1.0275988112483077,1.02759881124831,2.4424906541753444e-15,0.9051534937749,1.16660801084146,0.775181948538418,completed
Short-billed Gull,positive_numeric_count_given_detection,1.2997560367839571,1.29975603604821,7.357470188651405e-10,1.22897499222397,1.37461361210179,1.02282689923671e-18,completed
Surf Scoter,positive_numeric_count_given_detection,1.3038341183200952,1.3038341183201,4.884981308350689e-15,1.21385883694139,1.40047866882038,2.3244014011645597e-12,completed
Surfbird,positive_numeric_count_given_detection,,,,,,,failed_insufficient_support
Western Grebe,positive_numeric_count_given_detection,1.1176726657217009,1.1176726658252,1.0349920920305067e-10,0.787842101497147,1.58558699206218,0.680996049081459,completed
Western Gull,positive_numeric_count_given_detection,1.0726602226800772,1.07266022268008,2.886579864025407e-15,0.99311201052606,1.15858024183052,0.148797850005198,completed_with_singular_warning
White-winged Scoter,positive_numeric_count_given_detection,1.1714247479180266,1.17142474791803,3.3306690738754696e-15,1.05607256909169,1.29937655819907,0.0091224735253167,completed
