effort_frame,period_id,region,event_time_stratum,distance_stratum,independent_events,herring_source_events,unique_observer_clusters,unique_generalized_locations,suppressed_below_20
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_5_10,104,61,23,34,false
high_spatial_precision,complete_1988_2025,PRD,immediate_pre,ring_10_20,537,212,59,76,false
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_5_10,25,16,18,12,false
high_spatial_precision,complete_1988_2025,PRD,spawn_start,ring_10_20,140,146,36,32,false
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_5_10,67,31,27,23,false
high_spatial_precision,complete_1988_2025,PRD,early_egg,ring_10_20,296,166,56,50,false
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_0_0p5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_0p5_1,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_1_2,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_2_3,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_3_4,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_4_5,,,,,true
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_5_10,62,21,21,23,false
high_spatial_precision,complete_1988_2025,PRD,late_egg,ring_10_20,402,188,63,70,false
