"pooling_family_id_v2","component_evidence_id","stable_unit_id","region","contrast","canonical_model_id","unit_class","response_state","component_estimand_id","included_in_future_estimator","disposition_reason_code"
"pf2_014e32cc75613e964bccf940","ce2_825421a43eb017ace2a46df9","atx_fadb8da1a816","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_841d7b7adb20edbc0b010ef7","atx_136b0e66254b","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_84916aaf56231885122604b6","atx_7b80ddaff058","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8607d90f1b01eab3921f322e","atx_v2_000002","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8892b18ca3fcc50af834a103","atx_fadb8da1a816","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_89c02d03c26e4071058b2361","atx_04afbeb21fb0","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8a7d4bf86d59328a48b73ad0","atx_1930f23cc4f8","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8b4df63c478ba0fa54c10376","atx_136b0e66254b","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8bc6c87f8eb6a198a579bebc","atx_e0e678a61ad7","CC","time_spawn_start","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8d568976dcf072442fce96eb","atx_acf526bb8010","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8e9271bf15ff03adbffd115b","atx_fadb8da1a816","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_8fbb2370998bb529e1b18774","atx_v2_000007","CC","time_late_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_9112a2d0348d13ecd6f00a32","atx_b3d3ea90f9cb","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_92d8178136f694311129695f","atx_c9db024faf12","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_93592e38fcce41f37073379d","atx_aa5353f6d6d2","CC","time_immediate_pre","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_936b487690248adbd9d40d51","atx_acf526bb8010","CC","time_early_egg","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
"pf2_014e32cc75613e964bccf940","ce2_93d8fdbfadcc72bf346b83ac","atx_a444854c6b66","CC","time_post","M05","species","positive_numeric_count_given_detection","E06",TRUE,"INCLUDED_PRIMARY_REPRESENTATION"
