"pooling_family_id_v2","component_count","pooling_axis_count","canonical_model_id_unique_n","model_architecture_unique_n","component_estimand_id_unique_n","response_state_unique_n","unit_class_unique_n","effect_scale_unique_n","exposure_definition_unique_n","temporal_window_unique_n","spatial_buffer_unique_n","analysis_population_unique_n","adjustment_set_unique_n","component_role_unique_n","coefficient_meaning_unique_n","variance_meaning_unique_n","compatibility_status","estimability_status"
"pf2_a6b60279eee5b2a71ffab23c",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_a9638d89a823e24f0a0375b7",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_ad640f92d3d5c42f74654e10",38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_ae9cf258bad87b79ded2ee81",245,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_af93e905a6db96441d5b6b21",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_b1169eb051ee8f774a8b120a",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_b3e031366dd65e8f4df143af",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_b44984f7fd9719c3da33c58d",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_b57db657b0f4355edbd7a709",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_bb264c0145dc3e4264c215bf",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_bb54dfc1f89d5084aba89b7a",37,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_bbb0130738c5de82071447de",38,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_c199531e3155b6467f2f7a29",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_c3e780aee604874167e67553",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_c415098f6f092326d86b4aa9",48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_c5cff4dfb217b3b0f29a4017",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_cb674c60afcf81229ff38007",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_ccfcd821294d4a4907199d60",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_cd2ff09d41d379356825fac7",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_cd7016a5a0d5fd7d427e056b",7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_cd9e018b29d20bec68ea30e7",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d0ad949e07bac62bd12f2c87",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d162e48dc2d36114ea9fb25d",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d29870af18b74b0f57d826e8",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d38e5624e00d6ce338020bda",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d6910f8989f5c933d3c5ec9a",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_d8c95f3f5cfd0b04b681c6cd",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_dae62993b0f12a56526d8e0f",40,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_dd5e8662e83f4aa227165536",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_df14c9fa337c3ca440d9017d",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e200a82b43f7568ebfc9f6b5",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e20c8b5c667ee905987a7f27",8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e28aa8a93065ca93d76aa9b1",47,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e2b001e4dc833b785d92a998",240,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e36fc40f2c8a16c8c70cebdf",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
"pf2_e4fcecce0a2b139d4b58e038",49,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"PASS","ELIGIBLE_MINIMUM_COMPONENT_COUNT"
